chargedweight,dateofbooking,deliverystation,deliverytype,noofpackages,orderid,originstation,status
950,22-09-2023,PUNE,GODOWN,7,SHD6030,LONI ROAD,AT DESTINATION
140,23-09-2023,BHUBANESWAR,DOOR,5,SHD6034,SHAHDARA,AT DESTINATION
3270,28-09-2023,CHENNAI,DOOR,29,SHD6045,BAWANA,IN TRANSIT
280,28-09-2023,TUTICORIN,DOOR,13,SHD6047,BAWANA,AT DESTINATION
360,28-09-2023,TIRUNELVELI,DOOR,13,SHD6048,BAWANA,IN TRANSIT
450,30-09-2023,COIMBATORE,DOOR,16,SHD6053,BAWANA,IN TRANSIT
200,30-09-2023,GORAKHPUR,DOOR,6,SHD6054,BAWANA,AT DESTINATION
160,30-09-2023,VARANASI,DOOR,5,SHD6055,BAWANA,DELIVERED
450,30-09-2023,COIMBATORE,DOOR,16,SHD6056,BAWANA,IN TRANSIT
200,30-09-2023,GORAKHPUR,DOOR,6,SHD6057,BAWANA,AT DESTINATION
160,30-09-2023,VARANASI,DOOR,5,SHD6058,BAWANA,DELIVERED
